LoanID,FacilityID
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,4
10,1
11,1
12,1
13,1
14,1
15,1
16,3
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,4
34,1
35,1
36,1
37,3
38,3
39,3
40,4
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,2
53,3
54,3
55,1
56,3
57,3
58,1
59,3
60,3
61,3
62,2
63,4
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,4
81,4
82,3
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,2
110,4
111,2
112,4
113,2
114,2
115,6
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,6
142,6
143,6
144,2
145,6
146,6
147,6
148,5
149,6
150,6
151,5
152,6
153,6
154,6
155,6
156,6
157,6
158,6
159,5
160,6
161,6
162,6
163,6
164,6
165,6
166,5
167,6
168,6
169,6
170,6
171,5
172,6
173,5
174,6
175,6
176,6
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,8
192,5
193,5
194,5
195,8
196,5
197,5
198,5
199,5
200,5
201,8
202,8
203,8
204,8
205,8
206,8
207,8
208,7
209,8
210,8
211,8
212,8
213,8
214,8
215,8
216,8
217,8
218,8
219,8
220,8
221,8
222,8
223,8
224,8
225,8
226,8
227,8
228,8
229,8
230,8
231,8
232,8
233,8
234,8
235,8
236,8
237,8
238,8
239,8
240,8
241,8
242,8
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,8
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,9
264,7
265,7
266,7
267,7
268,7
269,7
270,7
271,7
272,7
273,7
274,10
275,10
276,10
277,10
278,10
279,10
280,10
281,10
282,10
283,10
284,10
285,10
286,10
287,10
288,10
289,10
290,10
291,10
292,10
293,10
294,10
295,10
296,10
297,10
298,10
299,10
300,10
301,10
302,10
303,10
304,10
305,10
306,10
307,10
308,10
309,10
310,10
311,10
312,9
313,9
314,9
315,9
316,9
317,9
318,9
319,9
320,9
321,10
322,9
323,9
324,9
325,9
326,9
327,9
328,10
329,9
330,9
331,9
332,9
333,9
334,9
335,9
336,9
337,9
338,9
339,9
340,9
341,9
342,9
343,9
344,9
345,9
346,9
347,9
348,12
349,9
350,12
351,12
352,12
353,12
354,12
355,12
356,12
357,12
358,12
359,12
360,12
361,12
362,12
363,12
364,12
365,12
366,12
367,12
368,12
369,12
370,12
371,12
372,12
373,12
374,12
375,12
376,12
377,9
378,12
379,12
380,12
381,12
382,12
383,12
384,12
385,11
386,11
387,11
388,11
389,11
390,11
391,11
392,11
393,13
394,12
395,13
396,11
397,11
398,11
399,11
400,11
401,11
402,13
403,11
404,11
405,11
406,13
407,11
408,11
409,11
410,13
411,11
412,11
413,11
414,11
415,11
416,11
417,11
418,11
419,11
420,11
421,11
422,13
423,13
424,11
425,
